,cluster_x,stock,week,model,R2,RMSE,MAE,MedAE,MAPE(%),SMAPE(%),QLIKE
180,1,104919.0,18,GARCH+LSTM,-3.4497063296728907,0.00024128249580189194,0.0002236126758969923,0.00021747392931731048,61.352295680610126,92.0302786337014,20.171801358199303
182,1,104919.0,19,GARCH+LSTM,-3.2367494712695697,0.00027501497310680674,0.00025576211994330353,0.00023537892111445612,84.3041777062291,145.24275302450317,256694.78168525413
184,1,104919.0,24,GARCH+LSTM,0.29576581976588456,0.00012800771458045204,9.619300753916255e-05,7.503633284724971e-05,26.32187000062658,25.011504926433005,3.8009872025360956
186,1,104919.0,26,GARCH+LSTM,-1.3134903398388733,9.524641201741993e-05,8.296262685952701e-05,7.776244859466233e-05,48.25055147414953,67.56424125020212,6.368897411363129
188,1,104919.0,28,GARCH+LSTM,-0.6759625396317774,0.00017736352525767754,0.00015686746971861404,0.00015476568289562954,49.714532278284565,72.994524429891,19.75424669078745
190,1,104919.0,29,GARCH+LSTM,-2.8995692085056644,0.00013014973000050232,0.00011803184001532503,0.00011339727471920687,57.90403406620622,86.04159348218784,25.689032733308675
192,1,104919.0,32,GARCH+LSTM,0.13878707073541896,7.285173357088066e-05,6.103719949726543e-05,5.6385425959375854e-05,40.495805741597415,55.86873444671839,8.827705301824059
194,1,104919.0,35,GARCH+LSTM,0.027396424158838806,8.82718019460776e-05,7.79122113654958e-05,7.531474588410771e-05,46.843038961951656,65.62907683334736,576.2914031931551
196,1,104919.0,38,GARCH+LSTM,-1.2202107999833114,0.00016733099913150007,0.00014281193490487816,0.00012521444037156754,57.07734149072009,86.48726270794637,183.84217257590143
38,2,22675.0,2,GARCH+LSTM,-0.8183148614982263,0.00026648655800403954,0.00022408105101396,0.00020153467547843196,48.824952805202884,69.07287298821522,8.240437066733739
40,2,22675.0,4,GARCH+LSTM,-1.2718350093504789,0.00033502292632374913,0.0002675546860443323,0.00022458379422556104,38.29050771918664,50.965357873717224,6.505942857565455
42,2,22675.0,5,GARCH+LSTM,-0.6960939697425876,0.0002149782492453356,0.00016487364124213752,0.0001265457994304541,35.92338828355456,43.64388477654657,5.169233944911902
44,2,22675.0,8,GARCH+LSTM,-0.3851096638389844,0.00037669424990391143,0.0003107347637095866,0.00028232339971954497,37.007867502183196,45.54047960635608,6.749350868899524
46,2,22675.0,12,GARCH+LSTM,-3.041497313895918,0.0003529795913146785,0.00031213352495195655,0.00029307873629130137,57.81355873211149,86.5473501625221,54.455738154418334
